,Lesson(s) Learned Level 1,Driving Event Level 1,Recommendation(s) Level 1,Lesson IDs for row,Number of lessons for row
489,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[436],1
490,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","orbiter, brake, fall, position, hydraulic fluid, mast, pull, operator, smoke, thermal protection system","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[367, 24503]",2
491,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","review board, stabilization, success criterion, circumstance, closing, observer, observer loss, retesting, deluge, signal special","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[343],1
492,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","degradation, deep space, station, compatibility, downlink, real, mission, effect, long term, term","[317, 861, 883, 945, 1483, 1501, 1733, 2156, 5201, 6146, 6357, 6656, 25801]",13
493,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1382],1
494,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[1187],1
495,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","ssme, oxidizer, pump, liquid, fuel, propellant, shape, erosion, ring, space shuttle","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[303, 712, 799, 818]",4
496,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[400, 2037]",2
497,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic","[89, 1054, 1056, 1107, 1114, 1162, 1312, 1835, 2839, 4456, 6636, 18901]",12
498,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","state microgravity, first united, microgravity, injury, fire occur, damage, first shift, ignite, united, mile","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[205],1
499,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[4021],1
500,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","tunnel, transonic, aerodynamic, test mach, tunnel blade, transonic tunnel, mach, deflection, blade, vane","rate, destructive, solar, earth, appear, radiation, acceptable, general, state, error","[524, 778, 780, 888]",4
501,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","benefit, space shuttle, approach, space shuttle program, file, database, thoroughly, multiple, launch vehicle, processing",[28903],1
502,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[25505],1
503,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[4618, 22502]",2
504,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load","[591, 782, 1203, 6148]",4
505,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","vessel, pressure vessel, point, pressure, contact, internal, single point failure, routine, pertain, perform periodic",[3641],1
506,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[786, 1608, 1840]",3
507,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","assumption, ensure proper, always, vent, placement, high priority, particle, pyro, precaution, doubt",[1805],1
508,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","proof, arise, coordinate, briefing, fail, electronic, personnel involve, clearly, monthly, fixture","[10, 291, 584, 1212, 24006]",5
509,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","subject, thermal vacuum test, temperature, thermal vacuum, thermal, flight, test, reliability, fatigue, component",[659],1
510,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware",[552],1
511,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","fabrication assembly, defect, effort make, fabrication, material, complex, effort, wiring, harness, connector","[70, 391]",2
512,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","protection, fault protection, fault, shutdown, anomaly, spacecraft, detect, software, condition, hardware","[18, 84, 249, 345, 1804]",5
513,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket",[254],1
514,"draw, identification, sequence, redundancy, item, final, approve, modification, identify, transport","valve, tank, pressure, leak, supply, line, vent, nitrogen, vent line, water","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[27],1
515,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","anomaly investigation, centaur, thrust, potable water, atlas centaur, cape canaveral, hughes, general purpose computer, engine start, dewar","safety, hazardous, lift, procedure, hazard, equipment, remove, proper, handle, load",[932],1
516,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","base reliability, prefer, reliability, implementation method, technical, test benefit, reliability prefer, rationale, benefit, technical rationale","close, leak check, orbiter, open, position, valve, flow, open close, calibration, door","[524, 778, 780, 888]",4
517,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","assumption, ensure proper, always, vent, placement, high priority, particle, pyro, precaution, doubt","[156, 622, 1019, 1211, 1325, 1351, 1398, 1500, 1621, 4416, 19101]",11
518,"drawing, mishap investigation, high pressure, manner, primary, planning, task, document, mishap, perform","constellation program, constellation, risk management, communicate, role, mobile, life cycle, regard, size weight, timely manner","propellant, engine, cryogenic, liquid, propulsion system, propulsion, purge, coat, base, rocket","[89, 1054, 1056, 1107, 1114, 1162, 1312, 1835, 2839, 4456, 6636, 18901]",12
